Tokens 			Lexemas 			Posição 
tk_inicio 		start				 Linha 0 Coluna 0
tk_abre_co 		[				 Linha 0 Coluna 5
tk_int 			int				 Linha 1 Coluna 1
id 			x				 Linha 1 Coluna 5
tk_ponto_virgula 	;				 Linha 1 Coluna 6
tk_int 			int				 Linha 2 Coluna 1
id 			y				 Linha 2 Coluna 5
tk_atribuicao 		=				 Linha 2 Coluna 7
num 			1				 Linha 2 Coluna 9
tk_ponto_virgula 	;				 Linha 2 Coluna 10
tk_int 			int				 Linha 3 Coluna 1
id 			xuxa				 Linha 3 Coluna 5
tk_ponto_virgula 	;				 Linha 3 Coluna 9
tk_int 			int				 Linha 4 Coluna 1
id 			Xaxa90				 Linha 4 Coluna 5
tk_ponto_virgula 	;				 Linha 4 Coluna 11
tk_int 			int				 Linha 5 Coluna 1
id 			cAio				 Linha 5 Coluna 5
tk_ponto_virgula 	;				 Linha 5 Coluna 9
tk_ler 			read				 Linha 7 Coluna 1
id 			xaxa90				 Linha 7 Coluna 6
tk_ponto_virgula 	;				 Linha 7 Coluna 12
id 			x				 Linha 9 Coluna 1
tk_atribuicao 		=				 Linha 9 Coluna 2
num 			5				 Linha 9 Coluna 3
tk_ponto_virgula 	;				 Linha 9 Coluna 4
tk_enquanto 		while				 Linha 10 Coluna 1
tk_abre_pa 		(				 Linha 10 Coluna 6
id 			x				 Linha 10 Coluna 7
tk_maior 		>				 Linha 10 Coluna 8
id 			y				 Linha 10 Coluna 9
tk_fecha_pa 		)				 Linha 10 Coluna 10
tk_abre_co 		[				 Linha 10 Coluna 11
id 			y				 Linha 11 Coluna 2
tk_atribuicao 		=				 Linha 11 Coluna 3
id 			y				 Linha 11 Coluna 4
tk_adicao 		+				 Linha 11 Coluna 5
num 			1				 Linha 11 Coluna 6
tk_ponto_virgula 	;				 Linha 11 Coluna 7
tk_fecha_co 		]				 Linha 12 Coluna 1
tk_se 			if				 Linha 13 Coluna 1
tk_abre_pa 		(				 Linha 13 Coluna 3
id 			x				 Linha 13 Coluna 4
tk_menor 		<				 Linha 13 Coluna 5
id 			y				 Linha 13 Coluna 6
tk_fecha_pa 		)				 Linha 13 Coluna 7
tk_abre_co 		[				 Linha 13 Coluna 8
id 			x				 Linha 14 Coluna 2
tk_atribuicao 		=				 Linha 14 Coluna 3
id 			x				 Linha 14 Coluna 4
tk_adicao 		+				 Linha 14 Coluna 5
num 			5				 Linha 14 Coluna 6
tk_ponto_virgula 	;				 Linha 14 Coluna 7
tk_fecha_co 		]				 Linha 15 Coluna 1
tk_senao 		ifno				 Linha 15 Coluna 2
tk_abre_co 		[				 Linha 15 Coluna 6
id 			y				 Linha 16 Coluna 2
tk_atribuicao 		=				 Linha 16 Coluna 4
id 			x				 Linha 16 Coluna 6
tk_abre_pa 		(				 Linha 16 Coluna 7
id 			x				 Linha 16 Coluna 8
tk_adicao 		+				 Linha 16 Coluna 9
num 			555				 Linha 16 Coluna 10
tk_fecha_pa 		)				 Linha 16 Coluna 13
tk_ponto_virgula 	;				 Linha 16 Coluna 14
tk_fecha_co 		]				 Linha 17 Coluna 1
id 			y				 Linha 19 Coluna 1
tk_atribuicao 		=				 Linha 19 Coluna 3
id 			x				 Linha 19 Coluna 5
tk_subtracao 		-				 Linha 19 Coluna 7
num 			2				 Linha 19 Coluna 8
tk_ponto_virgula 	;				 Linha 19 Coluna 9
id 			x				 Linha 20 Coluna 1
tk_atribuicao 		=				 Linha 20 Coluna 3
num 			9				 Linha 20 Coluna 5
tk_divisao 		/				 Linha 20 Coluna 6
num 			2				 Linha 20 Coluna 7
tk_ponto_virgula 	;				 Linha 20 Coluna 8
tk_escreve 		write				 Linha 22 Coluna 1
id 			x				 Linha 22 Coluna 7
tk_ponto_virgula 	;				 Linha 22 Coluna 8
tk_fecha_co 		]				 Linha 24 Coluna 0
tk_fim 			end				 Linha 24 Coluna 1
